agent_steps,score,episode_return
4325376,44.986027,44.986027
9043968,116.625168,116.625168
13762560,169.203171,169.203171
18481152,166.116394,166.116394
23199744,183.658264,183.658264
27918336,146.738083,146.738083
32505856,141.866699,141.866699
33816576,155.266022,155.266022
38404096,154.128357,154.128357
43122688,144.562805,144.562805
47841280,146.018204,146.018204
52297728,133.518372,133.518372
52428800,130.846832,130.846832
52428800,130.778671,130.778671
52428800,130.778671,130.778671
