label,env_name,final_score,peak_score,final_steps,hidden_size,num_layers,total_agents,num_buffers,gpu_percent,vram_used_gb,log_path
native,cartpole,196.962006,197.632217,5636096,32.000000,2.113270,4096.000000,4.788960,28.000000,1.866760,/home/tommaso/Dev/rddl2puffer/third_party/pufferlib/logs_sweep_compare_native4/cartpole/1776540667615.json
native,cartpole,196.962006,197.632217,5636096,32.000000,2.113270,4096.000000,4.788960,29.000000,1.866760,/home/tommaso/Dev/rddl2puffer/third_party/pufferlib/logs_sweep_compare_native4/cartpole/1776540670481.json
native,cartpole,9.651761,9.657888,4194304,512.000000,3.859288,8192.000000,1.918485,100.000000,5.062073,/home/tommaso/Dev/rddl2puffer/third_party/pufferlib/logs_sweep_compare_native4/cartpole/1776540673173.json
native,cartpole,46.659016,159.045771,5832704,128.000000,6.441567,512.000000,6.915247,55.000000,2.001526,/home/tommaso/Dev/rddl2puffer/third_party/pufferlib/logs_sweep_compare_native4/cartpole/1776540683120.json
generated,rddl_cartpole_discrete,130.778671,183.598877,52428800,32.000000,2.000000,4096.000000,4.000000,33.000000,1.866760,/home/tommaso/Dev/rddl2puffer/third_party/pufferlib/logs_sweep_compare_generated4/rddl_cartpole_discrete/1776540730407.json
generated,rddl_cartpole_discrete,130.778671,179.083893,52428800,32.000000,2.000000,4096.000000,4.000000,34.000000,1.866760,/home/tommaso/Dev/rddl2puffer/third_party/pufferlib/logs_sweep_compare_generated4/rddl_cartpole_discrete/1776540739165.json
generated,rddl_cartpole_discrete,14.476283,23.430479,5177344,128.000000,3.348537,2048.000000,4.779217,58.000000,2.026917,/home/tommaso/Dev/rddl2puffer/third_party/pufferlib/logs_sweep_compare_generated4/rddl_cartpole_discrete/1776540747733.json
generated,rddl_cartpole_discrete,21.154734,21.176207,4194304,512.000000,6.920942,4096.000000,1.923932,99.000000,2.782776,/home/tommaso/Dev/rddl2puffer/third_party/pufferlib/logs_sweep_compare_generated4/rddl_cartpole_discrete/1776540751633.json
