agent_steps,score,episode_return
4587520,46.196114,46.196114
9437184,105.370026,105.370026
14286848,102.783417,102.783417
19136512,155.343643,155.343643
24117248,130.414490,130.414490
28835840,127.946960,127.946960
33423360,141.889664,141.889664
38010880,166.777969,166.777969
42467328,153.278244,153.278244
46923776,141.657089,141.657089
51642368,143.336548,143.336548
52428800,145.036865,145.036865
52428800,145.002304,145.002304
52428800,145.002304,145.002304
